artist,id,title,release_date,primary_type,secondary_types
Bruce Springsteen,c497fc44-ddaf-3cce-a9b4-bfec958a0f3c,"Greetings From Asbury Park, N.J.",1973-01-05,Album,
Bruce Springsteen,4b443e66-52a7-3cc9-a522-0dc64a6a51dc,"The Wild, the Innocent & The E Street Shuffle",1973-11-05,Album,
Bruce Springsteen,39b22944-7503-3937-8bba-09b17281cc6a,Born to Run,1975-08-25,Album,
Bruce Springsteen,b613123b-a234-3f48-9c45-e05bf4e6b9e7,Darkness on the Edge of Town,1978-05,Album,
Bruce Springsteen,f4790d67-2e8c-42b8-828a-68d936fd119a,"Greetings From Asbury Park, N.J. / The Wild, the Innocent and the E Street Shuffle / Born to Run",1980,Album,Compilation
Bruce Springsteen,8a6f6ede-b60a-3cad-b3b9-cfb57e9e1dbd,The River,1980-10-10,Album,
Bruce Springsteen,cc168b35-1bc6-4f93-baaa-c9825fcd3699,Bruce Springsteen,1982,Album,Compilation
Bruce Springsteen,dfe499e1-df9a-44df-8f95-65af2ba16eb3,Retrospective,1982,Album,Compilation
Bruce Springsteen,324aee0c-36ec-35c1-9c93-b67a1d428037,Nebraska,1982-09-20,Album,
Bruce Springsteen,3c39a076-8e52-38f2-8076-260d0672fb23,Born in the U.S.A.,1984-05,Album,
Bruce Springsteen,0d849d30-df2d-442e-bc3f-0476027faedc,The Born in the U.S.A. 12″ Single Collection,1985,Album,Compilation
Bruce Springsteen,b3559cb2-d7ad-32eb-a17e-54a873ce4122,Tunnel of Love,1987-09-30,Album,
Bruce Springsteen,4318adaa-84bb-4f6b-8e2e-4689fc1067be,"The Wild, the Innocent & the E Street Shuffle / Darkness on the Edge of Town",1988,Album,Compilation
Bruce Springsteen,c760a3af-763f-48c9-bc8d-5001130c7331,The Bruce Springsteen Collection,1988,Album,Compilation
Bruce Springsteen,514ef4c3-e518-4181-947b-bba360056b62,Video Anthology / 1978–88,1989-03-21,Album,Compilation
Bruce Springsteen,8435fc60-e3c1-439d-896d-7deb2fe4489c,"Greetings From Asbury Park N.J. / The Wild, the Innocent and the E Street Shuffle / Darkness on the Edge of Town",1990,Album,Compilation
Bruce Springsteen,a98a27c8-5da5-4a8d-a98f-90a91b776e0a,Collected Works of Bruce Springsteen,1990,Album,Compilation
Bruce Springsteen,21a2cabb-d1cc-4eaf-ac0a-6bd349441f9c,"Nebraska / Greetings From Asbury Park, N.J.",1991,Album,Compilation
Bruce Springsteen,88813fc2-9ed6-4644-9290-df2411d1670d,"Greetings From Asbury Park, N.J. / The Wild, the Innocent and the E Street Shuffle",1991-12-02,Album,Compilation
Bruce Springsteen,6d954eab-7389-4dbb-aaca-7037b71e6e22,Nebraska / Darkness on the Edge of Town,1992,Album,Compilation
Bruce Springsteen,81e56a68-8b36-43e7-b3ab-1084f824448b,Human Touch & Lucky Town,1992,Album,Compilation
Bruce Springsteen,220de9c6-fa5f-39e3-ae89-1faf8a8bbc67,Human Touch,1992-03-26,Album,
Bruce Springsteen,c0e8b10a-9478-30ea-a299-90ab2b703ab0,Lucky Town,1992-03-26,Album,
Bruce Springsteen,12099757-b8a8-45d8-b95a-9bb5dc2748e7,A Concert for the Kristen Ann Carr Fund,1993,Album,Compilation
Bruce Springsteen,c7d15bdb-2c9b-44f1-b76e-2cdde02b4d2e,Born to Run / Darkness on the Edge of Town,1995,Album,Compilation
Bruce Springsteen,46ab3187-496d-3565-900e-57d89bacd22c,The Ghost of Tom Joad,1995-11-21,Album,
Bruce Springsteen,8c632eed-9d50-4bc8-b76d-9c99313d0113,Blood Brothers,1996-11-19,Album,Compilation
Bruce Springsteen,60ba10e0-9f77-3237-8b0a-967b31679a1b,Tracks,1998-11-10,Album,Compilation
Bruce Springsteen,609d33d6-e77e-3983-8670-1e1a0172453d,18 Tracks,1999-03-25,Album,Compilation
Bruce Springsteen,ddf3e647-82c7-4589-967d-30d3fde36756,Nebraska / Tunnel of Love / The Ghost of Tom Joad,2002,Album,Compilation
Bruce Springsteen,d19453c0-cd72-3468-b110-0f898c111e5e,The Rising,2002-07-29,Album,
Bruce Springsteen,c3369f7a-b550-4a2f-beb9-b64675015705,The Essential Bruce Springsteen,2003-11-10,Album,Compilation
Bruce Springsteen,6e44ac1b-536d-4766-9c65-3599571d3691,Nebraska / Lucky Town / In Concert: MTV Plugged,2005,Album,Compilation
Bruce Springsteen,d5f992ab-6238-3b28-bf2b-7b16d913c9f6,Devils & Dust,2005-04-25,Album,
Bruce Springsteen,602387fa-a76f-3895-9039-1c812c6cb28c,We Shall Overcome: The Seeger Sessions,2006-04-24,Album,
Bruce Springsteen,3b75264e-b299-43b1-836a-b3e65c5778ea,Definitive Collection,2006-09,Album,Compilation
Bruce Springsteen,af4e50d8-b08e-4c60-9395-2c147ede62eb,Nebraska / The Ghost of Tom Joad,2006-09-30,Album,Compilation
Bruce Springsteen,5af7998f-9b53-3ebb-8f09-ebfbca703a59,Magic,2007-07-17,Album,
Bruce Springsteen,9cec178a-f785-33c5-8888-63ba27efca4c,Working on a Dream,2008-12-03,Album,
Bruce Springsteen,4039e96d-8312-36be-8511-d6b786043ebf,Greatest Hits,2009-01-13,Album,Compilation
Bruce Springsteen,3eb2f3c8-1975-48b2-b455-acc202057386,The Collection 1973–84,2010-08-13,Album,Compilation
Bruce Springsteen,2872c420-5a5f-482e-b00c-199541c5b9b3,The Promise,2010-11-12,Album,Compilation
Bruce Springsteen,2cdcbdc4-b5b1-4afa-853f-f84faae2a0e0,The Promise: The Darkness on the Edge of Town Story,2010-11-16,Album,Compilation
Bruce Springsteen,d875c2f0-27d5-4946-81f9-3ebaf6636ccd,Wrecking Ball,2012-03-02,Album,
