artist,id,title,release_date,primary_type,secondary_types
Kodak Black,9eba2279-d4d1-4d0d-9b45-da09aa86b251,Project Baby,2013-12-27,Album,Mixtape/Street
Kodak Black,013842a9-da56-42e2-a3a6-79df4c78a8c0,Heart of the Projects,2014-12-25,Album,Mixtape/Street
Kodak Black,5e104f83-bdf5-4642-9b62-ba279e99192d,Institution,2015-12-25,Album,Mixtape/Street
Kodak Black,5d85428d-90e3-402c-a46c-b7745ba5fb88,Lil B.I.G. Pac,2016-06-10,Album,Mixtape/Street
Kodak Black,e8fbb50c-1bc5-4f0d-b336-28046155e093,Painting Pictures,2017-03-31,Album,
Kodak Black,8fab278b-39f0-4b8d-b0f4-9fc0cb3ca625,Project Baby Two,2017-08-18,Album,Mixtape/Street
Kodak Black,9adba5ea-dbe8-45e0-a165-12475631f663,F.E.M.A.,2017-10-31,Album,Mixtape/Street
Kodak Black,50d92942-c455-44b8-8983-a8c22ff12dcc,Kill Bill,2018,Album,Mixtape/Street
Kodak Black,933c0deb-ac8c-4477-a69d-fc38171a7d98,Heart Break Kodak,2018-02-14,Album,Mixtape/Street
Kodak Black,cb5cbfa5-e068-4b1b-9628-86a6f823bc8c,Dying to Live,2018-12-13,Album,
Kodak Black,2920773b-90a6-4f60-994b-684f16d55733,Bill Israel,2020-11-11,Album,
Kodak Black,028f885f-b511-4ec0-bd9d-a2eb40bd017e,Haitian Boy Kodak,2021-05-14,Album,Mixtape/Street
Kodak Black,331bd0dd-59ad-41a6-b834-b015329563d6,Before the Album,2021-08-07,Album,Mixtape/Street
Kodak Black,7f85eacd-7567-4400-b01a-14b05df77f22,Back for Everything,2022-02-25,Album,
Kodak Black,5146c84f-f77e-4129-b931-09f5befb9763,"Kutthroat Bill, Vol. 1",2022-10-28,Album,Mixtape/Street
Kodak Black,8adb4d3c-7967-4d85-99a5-c23634a7664d,Pistolz & Pearlz,2023-05-26,Album,
Kodak Black,64e298e9-353e-4af0-a9f0-81dcd07a2e64,When I Was Dead,2023-11-10,Album,
Kodak Black,daba6a91-eabf-4429-ad73-7a2682bbc6fe,Vulture Love Presents: The Last Zombies on Earth,2024-05-31,Album,
Kodak Black,36089fe5-6014-48b9-ab60-487bb0b1b8f1,Dieuson Octave,2024-11-01,Album,
Kodak Black,098b7101-61ad-43fa-9d03-11ff33a00029,Trill Bill,2024-11-29,Album,
Kodak Black,f152fd79-c3a3-4b53-8df0-12496e5c9db0,Gift for the Streets,2024-12-25,Album,Mixtape/Street
Kodak Black,29768736-cf39-467b-a7d5-d532beaf703e,Just Getting Started,2025-10-31,Album,
Kodak Black,888c52d2-77f1-482c-8bc1-287b49f7e8cb,Kodak The Blessing,2026-06-12,Album,
