artist,id,title,release_date,primary_type,secondary_types
Taylor Swift,ba1d0c2a-bb07-38bc-835c-a880f76f1309,Taylor Swift,2006-10-24,Album,
Taylor Swift,412b9414-280a-485d-b505-3182865a3a6f,Selects,2008,Album,Compilation
Taylor Swift,63eba062-847c-3b73-8b0f-6baf27bba6fa,Fearless,2008-11-11,Album,
Taylor Swift,ba1259eb-d41e-41c5-a70c-0e6fa73e6708,Speak Now,2010-10-25,Album,
Taylor Swift,fb5e3b2c-9291-4c83-a5ae-02201e0e20e3,Unreleased Songs,2012,Album,Compilation
Taylor Swift,a73cecde-0923-40ad-aad1-e8c24ba6c3d2,Red,2012-08-10,Album,
Taylor Swift,b58e2837-7645-496c-a28f-9a5a9f6af02f,Complete Album Collection,2013-11-22,Album,Compilation
Taylor Swift,2d6b471e-831f-4a07-9d22-77a863589746,The Queen Of Country,2014,Album,Compilation
Taylor Swift,4d9ec1c2-58ec-48a4-aa0a-916718adead0,1989,2014-10-24,Album,
Taylor Swift,0510cede-f1a3-4e90-9e1f-f2212224cfc8,Greatest Hits,2015,Album,Compilation
Taylor Swift,2c56e608-62ad-4ebe-abd0-3086c7f096c7,The Taylor Swift Megamix,2015,Album,DJ-mix
Taylor Swift,f1e9d095-6b33-4565-8d71-0160835650da,Hot Champion,2016-08-14,Album,Compilation
Taylor Swift,06a75f07-80b2-469d-8ce4-11d5aaad3853,Reputation Car High Resolution,2017,Album,Compilation
Taylor Swift,81593389-6a8c-447a-8a22-3fa466045294,Greatest Songs,2017,Album,Compilation
Taylor Swift,f060c8fd-bec9-426e-800e-8efc040a71e6,reputation,2017-11-10,Album,
Taylor Swift,0a5a4bb3-3b68-4ab4-b36d-7523b5beff16,reputation Stadium Tour Surprise Song Playlist,2018-11-30,Album,Compilation
Taylor Swift,b88a27d9-612e-4818-8f56-dab5bf5dcd38,МЕ! [Chinese Import],2019,Album,Compilation
Taylor Swift,30e9785b-7b50-4d29-b3d1-96fb55e3397f,Lover,2019-08-23,Album,
Taylor Swift,f1d08326-c23b-4b43-be3b-20b33ab10bf6,folklore,2020-07-24,Album,
Taylor Swift,e86d6219-f5a2-4edd-bf2b-3f9eab190ae0,evermore,2020-12-11,Album,
Taylor Swift,bc6d9aac-bcaa-49cf-bb9a-89ccb101e88d,Voice Memos,2021,Album,Compilation
Taylor Swift,2c049f28-a4e0-41c9-b7d8-e0a98951f357,The Vault (deluxe),2021-03-16,Album,
Taylor Swift,c560cfbd-f7a5-4798-b546-978be71f5ead,covered by taylor,2021-03-18,Album,Compilation
Taylor Swift,d2e4838d-90e1-471c-bda0-fd816dabb2d4,Fearless (Taylor’s Version),2021-04-09,Album,
Taylor Swift,67727253-f1c0-4243-9270-f9f1401c3b8c,Red (Taylor’s Version),2021-11-11,Album,
Taylor Swift,c4d79e99-b410-4798-8de3-a0afd4564f3f,"The Diary Of Me (The Vault, II)",2021-12-13,Album,Compilation
Taylor Swift,0dcc84fb-c592-46e9-ba92-a52bb44dd553,Midnights,2022-10-21,Album,
Taylor Swift,0441b1b2-de57-4a9a-b007-1f6e159921d5,Speak Now (Taylor’s Version),2023-07-07,Album,
Taylor Swift,1c4770b3-b7a3-4d44-a7a9-8e2dbb74b85a,1989 (Taylor’s Version),2023-10-27,Album,
Taylor Swift,2a6b9e56-7314-4709-9dc7-924cdc300385,Lover The Secret Studio Sessions,2024,Album,
Taylor Swift,b3271fbb-164f-44ee-9309-7327a9e1d40f,Lucky 13 (Another One for the Swifties),2024,Album,Compilation
Taylor Swift,bd61ffde-ec85-4a12-a134-c6db179bc13d,Hot N' Cold N' In-Between,2024-02-02,Album,Compilation
Taylor Swift,71c3eed6-466c-4aef-ad12-65a36d19467a,THE TORTURED POETS DEPARTMENT,2024-04-19,Album,
Taylor Swift,8daa3881-8fbd-49e5-a71b-913171b73ed5,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,Album,
Taylor Swift,77721243-ad7b-4750-8b3b-e4574126415f,From The Vault,2025-09-13,Album,Compilation
Taylor Swift,9ae7e7e9-ac40-4874-bd43-d77a9bb9b617,The Life of a Showgirl,2025-10-03,Album,
